20240922_0719 | w2v_20240920_0_mc5_w21_v25_g50 	| cos 	| spearmanr | 0.0273 | 0.0 | 43.43s 
20240922_0719 | w2v_20240920_1_mc8_w44_v5_g50 	| euc 	| pearsonr | 0.0713 | 0.0 | 20.12s 
20240922_0719 | w2v_20240920_1_mc8_w44_v5_g50 	| euc 	| spearmanr | 0.0842 | 0.0 | 33.05s 
20240922_0719 | w2v_20240920_1_mc8_w44_v5_g50 	| cos 	| pearsonr | 0.0512 | 0.0 | 16.61s 
20240922_0719 | w2v_20240920_1_mc8_w44_v5_g50 	| cos 	| spearmanr | 0.056 | 0.0 | 36.37s 
20240922_0719 | w2v_20240920_1_mc5_w13_v25_g50 	| euc 	| pearsonr | 0.0767 | 0.0 | 26.41s 
20240922_0719 | w2v_20240920_1_mc5_w13_v25_g50 	| euc 	| spearmanr | 0.1007 | 0.0 | 48.05s 
20240922_0719 | w2v_20240920_1_mc5_w13_v25_g50 	| cos 	| pearsonr | 0.0251 | 0.0 | 24.04s 
20240922_0719 | w2v_20240920_1_mc5_w13_v25_g50 	| cos 	| spearmanr | 0.0247 | 0.0 | 49.6s 
20240922_0719 | w2v_20240921_1_mc5_w13_v250 	| euc 	| pearsonr | 0.001 | 0.0 | 28.34s 
20240922_0719 | w2v_20240921_1_mc5_w13_v250 	| euc 	| spearmanr | 0.0076 | 0.0 | 44.99s 
20240922_0719 | w2v_20240921_1_mc5_w13_v250 	| cos 	| pearsonr | -0.0245 | 0.0 | 26.7s 
20240922_0719 | w2v_20240921_1_mc5_w13_v250 	| cos 	| spearmanr | -0.0327 | 0.0 | 47.26s 
20240922_0719 | w2v_20240921_1_mc8_w13_v500 	| euc 	| pearsonr | -0.0205 | 0.0 | 22.56s 
20240922_0719 | w2v_20240921_1_mc8_w13_v500 	| euc 	| spearmanr | -0.0168 | 0.0 | 38.32s 
20240922_0719 | w2v_20240921_1_mc8_w13_v500 	| cos 	| pearsonr | -0.0349 | 0.0 | 15.35s 
20240922_0719 | w2v_20240921_1_mc8_w13_v500 	| cos 	| spearmanr | -0.0455 | 0.0 | 34.33s 
20240922_0719 | w2v_20240921_0_mc5_w44_v100 	| euc 	| pearsonr | 0.0581 | 0.0 | 19.6s 
20240922_0719 | w2v_20240921_0_mc5_w44_v100 	| euc 	| spearmanr | 0.0633 | 0.0 | 35.58s 
20240922_0719 | w2v_20240921_0_mc5_w44_v100 	| cos 	| pearsonr | 0.0113 | 0.0 | 23.77s 
20240922_0719 | w2v_20240921_0_mc5_w44_v100 	| cos 	| spearmanr | 0.0116 | 0.0 | 42.13s 
20240922_0719 | w2v_20240920_1_mc8_w21_v5_g50 	| euc 	| pearsonr | 0.0716 | 0.0 | 22.42s 
20240922_0719 | w2v_20240920_1_mc8_w21_v5_g50 	| euc 	| spearmanr | 0.0832 | 0.0 | 34.9s 
20240922_0719 | w2v_20240920_1_mc8_w21_v5_g50 	| cos 	| pearsonr | 0.0538 | 0.0 | 24.84s 
20240922_0719 | w2v_20240920_1_mc8_w21_v5_g50 	| cos 	| spearmanr | 0.0585 | 0.0 | 27.25s 
20240922_0719 | w2v_20240921_1_mc3_w44_v500 	| euc 	| pearsonr | 0.0006 | 0.0 | 23.95s 
20240922_0719 | w2v_20240921_1_mc3_w44_v500 	| euc 	| spearmanr | 0.0034 | 0.0 | 44.77s 
20240922_0719 | w2v_20240921_1_mc3_w44_v500 	| cos 	| pearsonr | -0.0185 | 0.0 | 32.37s 
20240922_0719 | w2v_20240921_1_mc3_w44_v500 	| cos 	| spearmanr | -0.0291 | 0.0 | 48.19s 
20240922_0719 | w2v_20240921_0_mc3_w21_v50 	| euc 	| pearsonr | 0.0577 | 0.0 | 39.13s 
20240922_0719 | w2v_20240921_0_mc3_w21_v50 	| euc 	| spearmanr | 0.0667 | 0.0 | 32.93s 
20240922_0719 | w2v_20240921_0_mc3_w21_v50 	| cos 	| pearsonr | 0.0113 | 0.0 | 29.77s 
20240922_0719 | w2v_20240921_0_mc3_w21_v50 	| cos 	| spearmanr | 0.0122 | 0.0 | 40.93s 
20240922_0719 | w2v_20240921_1_mc3_w44_v50 	| euc 	| pearsonr | 0.0724 | 0.0 | 31.91s 
20240922_0719 | w2v_20240921_1_mc3_w44_v50 	| euc 	| spearmanr | 0.0958 | 0.0 | 36.99s 
20240922_0719 | w2v_20240921_1_mc3_w44_v50 	| cos 	| pearsonr | 0.0157 | 0.0 | 21.9s 
20240922_0719 | w2v_20240921_1_mc3_w44_v50 	| cos 	| spearmanr | 0.0138 | 0.0 | 42.15s 
