20240917_1900 | w2v_20240911_skip_mc5_w3_v50 	| cos 	| 0.9723 	|  0.0277 | 0.0196 | 27.26s 
20240917_1900 | w2v_20240910_sg1_mc8_w44_v100 	| euc 	| 0.9532 	|  0.0468 | 0.0196 | 20.52s 
20240917_1900 | w2v_20240910_sg1_mc8_w44_v100 	| cos 	| 0.9992 	|  0.0008 | 0.902 | 19.91s 
20240917_1900 | w2v_20240911_sg1_mc1_w3_v25 	| euc 	| 0.9534 	|  0.0466 | 0.0196 | 55.3s 
20240917_1900 | w2v_20240911_sg1_mc1_w3_v25 	| cos 	| 0.9654 	|  0.0346 | 0.0196 | 59.57s 
20240917_1900 | w2v_20240910_sg1_mc3_w3_v5 	| euc 	| 0.9616 	|  0.0384 | 0.0196 | 42.74s 
20240917_1900 | w2v_20240910_sg1_mc3_w3_v5 	| cos 	| 0.9587 	|  0.0413 | 0.0196 | 31.17s 
20240917_1900 | w2v_20240911_skip_mc5_w44_v10 	| euc 	| 0.9511 	|  0.0489 | 0.0196 | 30.03s 
20240917_1900 | w2v_20240911_skip_mc5_w44_v10 	| cos 	| 0.971 	|  0.029 | 0.0196 | 29.92s 
20240917_1900 | w2v_20240910_sg1_mc3_w44_v25 	| euc 	| 0.9342 	|  0.0658 | 0.0196 | 31.18s 
20240917_1900 | w2v_20240910_sg1_mc3_w44_v25 	| cos 	| 0.9702 	|  0.0298 | 0.0196 | 32.71s 
20240917_1900 | w2v_20240911_skip_mc5_w44_v5 	| euc 	| 0.9371 	|  0.0629 | 0.0196 | 27.24s 
20240917_1900 | w2v_20240911_skip_mc5_w44_v5 	| cos 	| 0.9562 	|  0.0438 | 0.0196 | 26.67s 
20240917_1900 | w2v_20240911_skip_mc1_w44_v10 	| euc 	| 0.9564 	|  0.0436 | 0.0196 | 55.07s 
20240917_1900 | w2v_20240911_skip_mc1_w44_v10 	| cos 	| 0.9873 	|  0.0127 | 0.0196 | 69.49s 
20240917_1900 | w2v_20240910_sg1_mc3_w3_v10 	| euc 	| 0.9656 	|  0.0344 | 0.0196 | 30.16s 
20240917_1900 | w2v_20240910_sg1_mc3_w3_v10 	| cos 	| 0.9555 	|  0.0445 | 0.0196 | 31.48s 
20240917_1900 | w2v_20240911_skip_mc8_w3_v50 	| euc 	| 0.9597 	|  0.0403 | 0.0196 | 22.6s 
20240917_1900 | w2v_20240911_skip_mc8_w3_v50 	| cos 	| 0.9749 	|  0.0251 | 0.0196 | 19.22s 
20240917_1900 | w2v_20240910_sg1_mc3_w44_v5 	| euc 	| 0.94 	|  0.06 | 0.0196 | 34.11s 
20240917_1900 | w2v_20240910_sg1_mc3_w44_v5 	| cos 	| 0.9608 	|  0.0392 | 0.0196 | 30.22s 
20240917_1900 | w2v_20240910_sg1_mc3_w8_v5 	| euc 	| 0.965 	|  0.035 | 0.0196 | 27.45s 
20240917_1900 | w2v_20240910_sg1_mc3_w8_v5 	| cos 	| 0.9543 	|  0.0457 | 0.0196 | 33.9s 
20240917_1900 | w2v_20240911_sg1_mc1_w13_v25 	| euc 	| 0.9424 	|  0.0576 | 0.0196 | 45.47s 
