20240917_2352 | w2v_20240911_skip_mc5_w13_v10 	| cos 	| spearmanr | 0.0397 | 0.0 | 35.85s 
20240917_2352 | w2v_20240911_skip_mc5_w8_v5 	| euc 	| pearsonr | 0.0521 | 0.0 | 21.3s 
20240917_2352 | w2v_20240911_skip_mc5_w8_v5 	| euc 	| spearmanr | 0.0679 | 0.0 | 36.98s 
20240917_2352 | w2v_20240911_skip_mc5_w8_v5 	| cos 	| pearsonr | 0.0479 | 0.0 | 17.12s 
20240917_2352 | w2v_20240911_skip_mc5_w8_v5 	| cos 	| spearmanr | 0.0532 | 0.0 | 36.0s 
20240917_2352 | w2v_20240910_sg1_mc3_w13_v25 	| euc 	| pearsonr | 0.0614 | 0.0 | 23.93s 
20240917_2352 | w2v_20240910_sg1_mc3_w13_v25 	| euc 	| spearmanr | 0.0847 | 0.0 | 37.54s 
20240917_2352 | w2v_20240910_sg1_mc3_w13_v25 	| cos 	| pearsonr | 0.036 | 0.0 | 18.92s 
20240917_2352 | w2v_20240910_sg1_mc3_w13_v25 	| cos 	| spearmanr | 0.0378 | 0.0 | 40.66s 
20240917_2352 | w2v_20240911_skip_mc5_w5_v50 	| euc 	| pearsonr | 0.0455 | 0.0 | 17.49s 
20240917_2352 | w2v_20240911_skip_mc5_w5_v50 	| euc 	| spearmanr | 0.0661 | 0.0 | 30.45s 
20240917_2352 | w2v_20240911_skip_mc5_w5_v50 	| cos 	| pearsonr | 0.026 | 0.0 | 21.01s 
20240917_2352 | w2v_20240911_skip_mc5_w5_v50 	| cos 	| spearmanr | 0.0298 | 0.0 | 32.57s 
20240917_2352 | w2v_20240910_sg1_mc3_w8_v50 	| euc 	| pearsonr | 0.0478 | 0.0 | 23.25s 
20240917_2352 | w2v_20240910_sg1_mc3_w8_v50 	| euc 	| spearmanr | 0.0695 | 0.0 | 36.79s 
20240917_2352 | w2v_20240910_sg1_mc3_w8_v50 	| cos 	| pearsonr | 0.0243 | 0.0 | 24.05s 
20240917_2352 | w2v_20240910_sg1_mc3_w8_v50 	| cos 	| spearmanr | 0.0273 | 0.0 | 39.22s 
20240917_2352 | w2v_20240911_sg1_mc1_w21_v5 	| euc 	| pearsonr | 0.0418 | 0.0 | 37.66s 
20240917_2352 | w2v_20240911_sg1_mc1_w21_v5 	| euc 	| spearmanr | 0.0548 | 0.0 | 41.33s 
20240917_2352 | w2v_20240911_sg1_mc1_w21_v5 	| cos 	| pearsonr | 0.018 | 0.0 | 47.44s 
20240917_2352 | w2v_20240911_sg1_mc1_w21_v5 	| cos 	| spearmanr | 0.0241 | 0.0 | 57.85s 
20240917_2352 | w2v_20240911_skip_mc8_w3_v10 	| euc 	| pearsonr | 0.0347 | 0.0 | 22.12s 
20240917_2352 | w2v_20240911_skip_mc8_w3_v10 	| euc 	| spearmanr | 0.05 | 0.0 | 33.63s 
20240917_2352 | w2v_20240911_skip_mc8_w3_v10 	| cos 	| pearsonr | 0.0451 | 0.0 | 15.36s 
20240917_2352 | w2v_20240911_skip_mc8_w3_v10 	| cos 	| spearmanr | 0.048 | 0.0 | 30.9s 
20240917_2352 | w2v_20240910_sg1_mc3_w5_v5 	| euc 	| pearsonr | 0.0464 | 0.0 | 19.96s 
20240917_2352 | w2v_20240910_sg1_mc3_w5_v5 	| euc 	| spearmanr | 0.0585 | 0.0 | 38.67s 
20240917_2352 | w2v_20240910_sg1_mc3_w5_v5 	| cos 	| pearsonr | 0.0406 | 0.0 | 22.67s 
20240917_2352 | w2v_20240910_sg1_mc3_w5_v5 	| cos 	| spearmanr | 0.0459 | 0.0 | 38.62s 
20240917_2352 | w2v_20240910_sg1_mc3_w3_v50 	| euc 	| pearsonr | 0.0401 | 0.0 | 20.29s 
20240917_2352 | w2v_20240910_sg1_mc3_w3_v50 	| euc 	| spearmanr | 0.0591 | 0.0 | 35.99s 
20240917_2352 | w2v_20240910_sg1_mc3_w3_v50 	| cos 	| pearsonr | 0.0278 | 0.0 | 23.23s 
20240917_2352 | w2v_20240910_sg1_mc3_w3_v50 	| cos 	| spearmanr | 0.0307 | 0.0 | 39.29s 
20240917_2352 | w2v_20240911_skip_mc1_w44_v50 	| euc 	| pearsonr | 0.0543 | 0.0 | 36.31s 
20240917_2352 | w2v_20240911_skip_mc1_w44_v50 	| euc 	| spearmanr | 0.0749 | 0.0 | 49.26s 
20240917_2352 | w2v_20240911_skip_mc1_w44_v50 	| cos 	| pearsonr | 0.0059 | 0.0 | 41.47s 
20240917_2352 | w2v_20240911_skip_mc1_w44_v50 	| cos 	| spearmanr | 0.0079 | 0.0 | 54.21s 
20240917_2352 | w2v_20240911_skip_mc5_w44_v50 	| euc 	| pearsonr | 0.0614 | 0.0 | 22.13s 
20240917_2352 | w2v_20240911_skip_mc5_w44_v50 	| euc 	| spearmanr | 0.0818 | 0.0 | 35.95s 
20240917_2352 | w2v_20240911_skip_mc5_w44_v50 	| cos 	| pearsonr | 0.0195 | 0.0 | 17.31s 
20240917_2352 | w2v_20240911_skip_mc5_w44_v50 	| cos 	| spearmanr | 0.0209 | 0.0 | 35.89s 
20240917_2352 | w2v_20240911_sg1_mc1_w21_v25 	| euc 	| pearsonr | 0.0587 | 0.0 | 39.27s 
20240917_2352 | w2v_20240911_sg1_mc1_w21_v25 	| euc 	| spearmanr | 0.0814 | 0.0 | 41.0s 
20240917_2352 | w2v_20240911_sg1_mc1_w21_v25 	| cos 	| pearsonr | 0.0159 | 0.0 | 40.39s 
20240917_2352 | w2v_20240911_sg1_mc1_w21_v25 	| cos 	| spearmanr | 0.0202 | 0.0 | 44.24s 
20240917_2352 | w2v_20240911_skip_mc5_w3_v50 	| euc 	| pearsonr | 0.0392 | 0.0 | 21.62s 
20240917_2352 | w2v_20240911_skip_mc5_w3_v50 	| euc 	| spearmanr | 0.0581 | 0.0 | 31.68s 
20240917_2352 | w2v_20240911_skip_mc5_w3_v50 	| cos 	| pearsonr | 0.0277 | 0.0 | 20.01s 
20240917_2352 | w2v_20240911_skip_mc5_w3_v50 	| cos 	| spearmanr | 0.0315 | 0.0 | 38.12s 
20240917_2352 | w2v_20240910_sg1_mc8_w44_v100 	| euc 	| pearsonr | 0.0468 | 0.0 | 14.9s 
20240917_2352 | w2v_20240910_sg1_mc8_w44_v100 	| euc 	| spearmanr | 0.0619 | 0.0 | 31.77s 
20240917_2352 | w2v_20240910_sg1_mc8_w44_v100 	| cos 	| pearsonr | 0.0008 | 0.0 | 15.24s 
20240917_2352 | w2v_20240910_sg1_mc8_w44_v100 	| cos 	| spearmanr | 0.0013 | 0.0 | 32.94s 
20240917_2352 | w2v_20240911_sg1_mc1_w3_v25 	| euc 	| pearsonr | 0.0466 | 0.0 | 38.27s 
20240917_2352 | w2v_20240911_sg1_mc1_w3_v25 	| euc 	| spearmanr | 0.0667 | 0.0 | 41.51s 
20240917_2352 | w2v_20240911_sg1_mc1_w3_v25 	| cos 	| pearsonr | 0.0346 | 0.0 | 41.64s 
20240917_2352 | w2v_20240911_sg1_mc1_w3_v25 	| cos 	| spearmanr | 0.0411 | 0.0 | 51.13s 
20240917_2352 | w2v_20240910_sg1_mc3_w3_v5 	| euc 	| pearsonr | 0.0384 | 0.0 | 33.08s 
20240917_2352 | w2v_20240910_sg1_mc3_w3_v5 	| euc 	| spearmanr | 0.0487 | 0.0 | 36.52s 
20240917_2352 | w2v_20240910_sg1_mc3_w3_v5 	| cos 	| pearsonr | 0.0413 | 0.0 | 25.93s 
20240917_2352 | w2v_20240910_sg1_mc3_w3_v5 	| cos 	| spearmanr | 0.0451 | 0.0 | 40.39s 
20240917_2352 | w2v_20240911_skip_mc5_w44_v10 	| euc 	| pearsonr | 0.0489 | 0.0 | 17.13s 
20240917_2352 | w2v_20240911_skip_mc5_w44_v10 	| euc 	| spearmanr | 0.0658 | 0.0 | 32.01s 
20240917_2352 | w2v_20240911_skip_mc5_w44_v10 	| cos 	| pearsonr | 0.029 | 0.0 | 18.37s 
20240917_2352 | w2v_20240911_skip_mc5_w44_v10 	| cos 	| spearmanr | 0.0307 | 0.0 | 32.94s 
20240917_2352 | w2v_20240910_sg1_mc3_w44_v25 	| euc 	| pearsonr | 0.0658 | 0.0 | 23.17s 
20240917_2352 | w2v_20240910_sg1_mc3_w44_v25 	| euc 	| spearmanr | 0.088 | 0.0 | 42.0s 
20240917_2352 | w2v_20240910_sg1_mc3_w44_v25 	| cos 	| pearsonr | 0.0298 | 0.0 | 20.47s 
20240917_2352 | w2v_20240910_sg1_mc3_w44_v25 	| cos 	| spearmanr | 0.0298 | 0.0 | 41.36s 
20240917_2352 | w2v_20240911_skip_mc5_w44_v5 	| euc 	| pearsonr | 0.0629 | 0.0 | 17.8s 
20240917_2352 | w2v_20240911_skip_mc5_w44_v5 	| euc 	| spearmanr | 0.0756 | 0.0 | 33.76s 
20240917_2352 | w2v_20240911_skip_mc5_w44_v5 	| cos 	| pearsonr | 0.0438 | 0.0 | 17.92s 
20240917_2352 | w2v_20240911_skip_mc5_w44_v5 	| cos 	| spearmanr | 0.0477 | 0.0 | 34.9s 
20240917_2352 | w2v_20240911_skip_mc1_w44_v10 	| euc 	| pearsonr | 0.0436 | 0.0 | 39.09s 
20240917_2352 | w2v_20240911_skip_mc1_w44_v10 	| euc 	| spearmanr | 0.0602 | 0.0 | 50.2s 
20240917_2352 | w2v_20240911_skip_mc1_w44_v10 	| cos 	| pearsonr | 0.0127 | 0.0 | 38.23s 
20240917_2352 | w2v_20240911_skip_mc1_w44_v10 	| cos 	| spearmanr | 0.016 | 0.0 | 60.7s 
20240917_2352 | w2v_20240910_sg1_mc3_w3_v10 	| euc 	| pearsonr | 0.0344 | 0.0 | 28.67s 
20240917_2352 | w2v_20240910_sg1_mc3_w3_v10 	| euc 	| spearmanr | 0.05 | 0.0 | 38.32s 
20240917_2352 | w2v_20240910_sg1_mc3_w3_v10 	| cos 	| pearsonr | 0.0445 | 0.0 | 25.88s 
20240917_2352 | w2v_20240910_sg1_mc3_w3_v10 	| cos 	| spearmanr | 0.0464 | 0.0 | 35.32s 
20240917_2352 | w2v_20240911_skip_mc8_w3_v50 	| euc 	| pearsonr | 0.0403 | 0.0 | 13.4s 
20240917_2352 | w2v_20240911_skip_mc8_w3_v50 	| euc 	| spearmanr | 0.0599 | 0.0 | 31.41s 
20240917_2352 | w2v_20240911_skip_mc8_w3_v50 	| cos 	| pearsonr | 0.0251 | 0.0 | 15.33s 
20240917_2352 | w2v_20240911_skip_mc8_w3_v50 	| cos 	| spearmanr | 0.0296 | 0.0 | 30.04s 
20240917_2352 | w2v_20240910_sg1_mc3_w44_v5 	| euc 	| pearsonr | 0.06 | 0.0 | 19.62s 
20240917_2352 | w2v_20240910_sg1_mc3_w44_v5 	| euc 	| spearmanr | 0.0734 | 0.0 | 37.61s 
20240917_2352 | w2v_20240910_sg1_mc3_w44_v5 	| cos 	| pearsonr | 0.0392 | 0.0 | 21.78s 
20240917_2352 | w2v_20240910_sg1_mc3_w44_v5 	| cos 	| spearmanr | 0.0429 | 0.0 | 36.8s 
20240917_2352 | w2v_20240910_sg1_mc3_w8_v5 	| euc 	| pearsonr | 0.035 | 0.0 | 17.34s 
20240917_2352 | w2v_20240910_sg1_mc3_w8_v5 	| euc 	| spearmanr | 0.0464 | 0.0 | 35.93s 
20240917_2352 | w2v_20240910_sg1_mc3_w8_v5 	| cos 	| pearsonr | 0.0457 | 0.0 | 19.84s 
20240917_2352 | w2v_20240910_sg1_mc3_w8_v5 	| cos 	| spearmanr | 0.0495 | 0.0 | 40.16s 
20240917_2352 | w2v_20240911_sg1_mc1_w13_v25 	| euc 	| pearsonr | 0.0576 | 0.0 | 37.59s 
20240917_2352 | w2v_20240911_sg1_mc1_w13_v25 	| euc 	| spearmanr | 0.081 | 0.0 | 40.4s 
20240917_2352 | w2v_20240911_sg1_mc1_w13_v25 	| cos 	| pearsonr | 0.0237 | 0.0 | 39.18s 
20240917_2352 | w2v_20240911_sg1_mc1_w13_v25 	| cos 	| spearmanr | 0.0283 | 0.0 | 58.45s 
20240917_2352 | w2v_20240911_skip_mc5_w3_v10 	| euc 	| pearsonr | 0.0335 | 0.0 | 25.29s 
20240917_2352 | w2v_20240911_skip_mc5_w3_v10 	| euc 	| spearmanr | 0.0486 | 0.0 | 32.72s 
20240917_2352 | w2v_20240911_skip_mc5_w3_v10 	| cos 	| pearsonr | 0.044 | 0.0 | 16.51s 
